energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh
-2.8987763063663183,-86.19482366514552,-5.797552612732637,-6.895585893211642,1272.5093531019836,6.895585893211642,-1.327182316188562,4.556
-3.4083664371659204,-87.00119316153896,-6.816732874331841,-6.960095452923117,1496.210025094785,6.960095452923117,-1.3457314320001137,4.556
-3.0746530843880984,-88.75663200276391,-6.149306168776197,-7.100530560221112,1349.7160159737043,7.100530560221112,-1.4233137449752131,4.556
-3.0137768199633523,-87.24038097357038,-6.027553639926705,-6.97923047788563,1322.9924582806639,6.97923047788563,-1.4366423861615976,4.556
-2.9841256565544647,-87.26200597449932,-5.968251313108929,-6.980960477959945,1309.9761442293523,6.980960477959945,-1.4434299370631207,4.556
-2.9659164756276626,-88.09189424092405,-5.931832951255325,-7.047351539273924,1301.9826495292637,7.047351539273924,-1.4443867649712876,4.556
-2.9530621981435186,-89.1723286599519,-5.906124396287037,-7.133786292796152,1296.3398587109386,7.133786292796152,-1.4425056461489654,4.556
-2.9433020388855096,-90.24431780119609,-5.886604077771019,-7.219545424095688,1292.0553287469313,7.219545424095688,-1.4390479077851144,4.556
-2.935592695601299,-91.20242453938711,-5.871185391202598,-7.2961939631509685,1288.6710691840647,7.2961939631509685,-1.4349232968806118,4.556
-2.9293712354240764,-92.07946743351084,-5.858742470848153,-7.366357394680867,1285.9399628727288,7.366357394680867,-1.431036160541946,4.556
-2.924290485059027,-92.8897245342112,-5.848580970118054,-7.4311779627368955,1283.709607137413,7.4311779627368955,-1.4277505715760128,4.556
-2.9201136558049146,-93.63315330498288,-5.840227311609829,-7.490652264398631,1281.876056104001,7.490652264398631,-1.425129215573892,4.556
-2.9166674490166122,-94.30355273744209,-5.8333348980332245,-7.544284218995367,1280.3632348624285,7.544284218995367,-1.4230819998613005,4.556
-2.9138181055956993,-94.90772090937638,-5.827636211191399,-7.5926176727501105,1279.1124256346354,7.5926176727501105,-1.4215516378546134,4.556
-2.911460086115348,-95.45080156638153,-5.822920172230696,-7.636064125310522,1278.0772985580984,7.636064125310522,-1.42047613485908,4.556
-2.9095086457265666,-95.93802959686857,-5.819017291453133,-7.6750423677494855,1277.22065220657,7.6750423677494855,-1.4197776359622691,4.556
-2.907894606520299,-96.37454505706508,-5.815789213040598,-7.709963604565206,1276.5121187534237,7.709963604565206,-1.4193839228445502,4.556
-2.906560968374722,-96.76530833627868,-5.813121936749444,-7.741224666902294,1275.9266761961028,7.741224666902294,-1.4192330323534932,4.556
-2.905460520610253,-97.11494298292104,-5.810921041220506,-7.769195438633683,1275.4435999167044,7.769195438633683,-1.4192722183914277,4.556
-2.904553490404772,-97.42449181595677,-5.809106980809544,-7.793959345276542,1275.045430379619,7.793959345276542,-1.419434485465022,4.556
-2.9038072984954733,-97.70021418821254,-5.8076145969909465,-7.816017135057003,1274.7178658891453,7.816017135057003,-1.4196987569785466,4.556
-2.903194779674311,-97.94687262780316,-5.806389559348622,-7.835749810224253,1274.4489814198027,7.835749810224253,-1.420044369825667,4.556
-2.902693310751398,-98.16790080785015,-5.805386621502796,-7.853432064628011,1274.2288458083397,7.853432064628011,-1.4204497906486806,4.556
-2.902284036519843,-98.36616127531427,-5.804568073039686,-7.869292902025141,1274.0491819665685,7.869292902025141,-1.4208963086421535,4.556
-2.9019512286304,-98.54417455387463,-5.8039024572608,-7.88353396430997,1273.9030854391572,7.88353396430997,-1.4213687196809623,4.556
-2.9016817658053404,-98.70416793809657,-5.803363531610681,-7.896333435047726,1273.784796227103,7.896333435047726,-1.4218548610420607,4.556
-2.901464700330976,-98.84810911884747,-5.802929400661952,-7.907848729507798,1273.689508485942,7.907848729507798,-1.4223451309964263,4.556
-2.9012909030478156,-98.97773647926168,-5.802581806095631,-7.918218918340934,1273.6132146829743,7.918218918340934,-1.42283204507954,4.556
-2.901150560768542,-99.09197832588902,-5.802301121537084,-7.9273582660711215,1273.5516070098956,7.9273582660711215,-1.4232854432450075,4.556
-2.901038949733457,-99.19455888018864,-5.802077899466914,-7.935564710415091,1273.502611823291,7.935564710415091,-1.4237228062819816,4.556
-2.900951333927717,-99.28742779090177,-5.801902667855434,-7.942994223272142,1273.4641500999635,7.942994223272142,-1.4241478514998833,4.556
-2.9008835195406895,-99.3716097369997,-5.801767039081379,-7.949728778959976,1273.4343808343676,7.949728778959976,-1.4245581397681961,4.556
-2.9008319375018745,-99.4479479940422,-5.801663875003749,-7.955835839523376,1273.4117372703574,7.955835839523376,-1.4249514238554848,4.556
-2.900793592072727,-99.51721213395108,-5.801587184145454,-7.961376970716086,1273.3949043339453,7.961376970716086,-1.425326300222552,4.556
-2.9007659862984427,-99.5800959843532,-5.8015319725968855,-7.966407678748256,1273.3827859080081,7.966407678748256,-1.425681975281309,4.556
-2.9007470433555516,-99.63722307412378,-5.801494086711103,-7.9709778459299025,1273.3744703053342,7.9709778459299025,-1.4260181303936876,4.556
-2.9007350439885666,-99.68915076424852,-5.801470087977133,-7.975132061139882,1273.369202804463,7.975132061139882,-1.4263347614797988,4.556
-2.9007285675598533,-99.73638031507599,-5.801457135119707,-7.978910425206079,1273.3663597716652,7.978910425206079,-1.4266321543610399,4.556
-2.9007264428716235,-99.77936068103047,-5.801452885743247,-7.982348854482438,1273.3654270727056,7.982348854482438,-1.4269107785961912,4.556
-2.900727708937921,-99.81849458553891,-5.801455417875842,-7.9854795668431136,1273.3659828524676,7.9854795668431136,-1.427171243784473,4.556
-2.9007315776597524,-99.85414375914706,-5.801463155319505,-7.988331500731765,1273.367681150023,7.988331500731765,-1.4274142614302727,4.556
-2.9007374060334694,-99.88663292188826,-5.801474812066939,-7.990930633751061,1273.3702396986257,7.990930633751061,-1.4276406028422217,4.556
-2.900744670130306,-99.91625557867945,-5.801489340260612,-7.993300446294356,1273.3734285032072,7.993300446294356,-1.4278511042480382,4.556
-2.9007529501895397,-99.94327440273948,-5.801505900379079,-7.995461952219158,1273.3770632965495,7.995461952219158,-1.4280465912597373,4.556
-2.9007619047079523,-99.96792774245675,-5.8015238094159045,-7.99743421939654,1273.380994165036,7.99743421939654,-1.42822792158701,4.556
-2.900771262792422,-99.99043001153399,-5.801542525584844,-7.999234400922719,1273.3851021915812,7.999234400922719,-1.4283959313002705,4.556
