energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh,TimeLimit.truncated
-3.580048255899296,-113.75114612744571,-7.160096511798592,-9.100091690195656,1571.5751781823074,9.100091690195656,-1.797810034577781,4.556,False
-3.6049014208219687,-113.40518367728775,-7.2098028416439375,-9.07241469418302,1582.4852593599512,9.07241469418302,-1.80031547298763,4.556,False
-3.6123489956041825,-113.70861058216177,-7.224697991208365,-9.096688846572942,1585.7546073767264,9.096688846572942,-1.8068104044990638,4.556,False
-3.6159739565002056,-114.40594518887251,-7.231947913000411,-9.1524756151098,1587.3458983758583,9.1524756151098,-1.8144491603261361,4.556,False
-3.61798026293585,-115.19959607209991,-7.2359605258717,-9.215967685767993,1588.226629910382,9.215967685767993,-1.8213291371817701,4.556,False
-3.619145719452125,-115.9274261317951,-7.23829143890425,-9.274194090543608,1588.7382438332418,9.274194090543608,-1.826839078616189,4.556,False
-3.6198180645004774,-116.52532021544188,-7.239636129000955,-9.32202561723535,1589.0333909132912,9.32202561723535,-1.830958920504954,4.556,False
-3.62018367459586,-116.98388073344432,-7.24036734919172,-9.358710458675546,1589.1938870043282,9.358710458675546,-1.8338928027045915,4.556,False
-3.1699755467817696,-117.17878079310753,-6.339951093563539,-9.374302463448602,1391.5608194827787,9.374302463448602,-1.8350248126891744,4.556,False
-3.6137544817080998,-117.49196243795137,-7.2275089634161995,-9.39935699503611,1586.3715898630815,9.39935699503611,-1.832799371057434,4.556,False
-3.359728350110873,-116.96516081852381,-6.719456700221746,-9.357212865481905,1474.8588016290048,9.357212865481905,-1.8281200079562012,4.556,False
-3.238122917115635,-111.87969471266473,-6.47624583423127,-8.950375577013178,1421.4762586109023,8.950375577013178,-1.7916231376434182,4.556,False
-3.5746807910819323,-110.92630296507151,-7.1493615821638645,-8.87410423720572,1569.2189600886445,8.87410423720572,-1.7802051933577523,4.556,False
-3.581308521035151,-111.27176270973109,-7.162617042070302,-8.901741016778487,1572.1284113411548,8.901741016778487,-1.7850576597478398,4.556,False
-0.0,-117.25788293416252,-0.0,-9.380630634733002,0.0,9.380630634733002,-1.8306473145148516,4.556,False
-3.5420905147096406,-133.88516131408966,-7.084181029419281,-10.710812905127172,1554.9124296354876,10.710812905127172,-1.947861712992344,4.556,False
-3.640326674865272,-136.36655795934956,-7.280653349730544,-10.909324636747964,1598.0362927415592,10.909324636747964,-1.9664473042001118,4.556,False
-3.408071656189318,-135.56991459014012,-6.816143312378636,-10.84559316721121,1496.0806216810001,10.84559316721121,-1.9626700605819252,4.556,False
-3.5929233912468628,-132.7953155845378,-7.1858467824937255,-10.623625246763025,1577.2271252181135,10.623625246763025,-1.9439541269602285,4.556,False
-3.4171290352777017,-130.98702048130306,-6.8342580705554035,-10.478961638504245,1500.0566441078583,10.478961638504245,-1.9313977728251022,4.556,False
-3.6395262525456413,-128.35677441304372,-7.279052505091283,-10.268541953043497,1597.6849221008083,10.268541953043497,-1.9127546183112718,4.556,False
-3.407771441330168,-126.77575104130997,-6.815542882660336,-10.142060083304798,1495.9488328929622,10.142060083304798,-1.9015305176850212,4.556,False
-3.6562061486098414,-124.22667283963831,-7.312412297219683,-9.938133827171065,1605.0070889419846,9.938133827171065,-1.8841055792176962,4.556,False
-3.3960451694549714,-122.61747620331538,-6.792090338909943,-9.80939809626523,1490.8012157396713,9.80939809626523,-1.8745943554653381,4.556,False
-3.7984723423883637,-121.12414465035444,-7.5969446847767275,-9.689931572028355,1667.459325016841,9.689931572028355,-1.8644556447080725,4.556,False
-3.671316704096031,-122.52502476383644,-7.342633408192062,-9.802001981106915,1611.640344203701,9.802001981106915,-1.8754255462248828,4.556,False
-3.6481698262299123,-124.01023397290882,-7.2963396524598245,-9.920818717832706,1601.479291584685,9.920818717832706,-1.8853736743494844,4.556,False
-3.1929937986168033,-124.35321145065494,-6.385987597233607,-9.948256916052395,1401.6654076456557,9.948256916052395,-1.8872040351521473,4.556,False
-3.2971172790433805,-121.97095026745886,-6.594234558086761,-9.757676021396708,1447.3736958048203,9.757676021396708,-1.8664781559380998,4.556,False
