month,day_of_month,hour,lozaradiante_zonanorth_heating_rate,lozaradiante_zonasouth_heating_rate,lozaradiante_zonaeast_heating_rate,lozaradiante_zonawest_heating_rate,outdoor_temperature,outdoor_humidity,north_perimeter_air_temperature,south_perimeter_air_temperature,east_perimeter_air_temperature,west_perimeter_air_temperature,north_perimeter_air_humidity,south_perimeter_air_humidity,east_perimeter_air_humidity,west_perimeter_air_humidity,heat_pump_power,total_electricity_HVAC
4.0,9.0,9.0,12978.5859375,0.0,4504.49853515625,0.0,20.0,49.0,22.271137237548828,19.756046295166016,24.027524948120117,22.932491302490234,98.81204986572266,83.3778076171875,64.67039489746094,69.09477996826172,1447.4593505859375,5200170.5
4.0,9.0,10.0,0.0,0.0,0.0,95.26887512207031,22.0,88.0,23.12721824645996,20.353496551513672,24.674823760986328,23.623476028442383,98.3784408569336,81.86943054199219,64.78459930419922,69.00193786621094,0.0,0.0
4.0,9.0,11.0,0.0,0.0,0.0,0.0,23.100000381469727,79.0,24.494813919067383,20.935714721679688,25.12514305114746,23.722734451293945,93.94029998779297,79.37645721435547,63.58706283569336,69.15313720703125,0.0,0.0
4.0,9.0,12.0,0.0,0.0,0.0,0.0,24.0,74.0,25.626663208007812,21.34051513671875,25.128135681152344,23.900894165039062,93.84217834472656,77.97798156738281,64.30741119384766,69.20076751708984,0.0,0.0
4.0,9.0,13.0,0.0,0.0,0.0,0.0,24.0,74.0,26.596797943115234,21.553462982177734,24.90009880065918,24.16950225830078,92.20600128173828,77.26008605957031,65.59921264648438,68.52304077148438,0.0,0.0
4.0,9.0,14.0,0.0,0.0,0.0,0.0,25.0,68.0,27.17892837524414,21.666460037231445,24.578044891357422,25.045225143432617,92.78994750976562,76.78343963623047,66.91771697998047,65.07142639160156,0.0,0.0
4.0,9.0,15.0,0.0,0.0,0.0,0.0,22.0,88.0,27.24542808532715,21.59559440612793,24.25587272644043,26.133180618286133,97.47298431396484,77.30306243896484,68.54070281982422,61.290367126464844,0.0,0.0
4.0,9.0,16.0,1684.3695068359375,0.0,1525.6134033203125,0.0,22.0,88.0,26.6059627532959,21.54568862915039,23.64979362487793,27.170684814453125,100.0,77.84146118164062,71.54147338867188,58.03463363647461,285.6779479980469,987390.0
4.0,9.0,17.0,9714.3955078125,0.0,7712.96728515625,0.0,21.799999237060547,88.0,25.4516658782959,21.363542556762695,23.269182205200195,26.98444938659668,100.0,78.85768127441406,73.44712829589844,58.87094497680664,1492.7247314453125,5388589.0
4.0,9.0,18.0,10476.568359375,0.0,7328.63525390625,0.0,20.0,100.0,24.35000228881836,20.97312355041504,23.03049659729004,25.448997497558594,100.0,81.09577941894531,74.99739074707031,64.87995910644531,1470.065673828125,5299569.5
