electrovalve_north,electrovalve_south,electrovalve_east,electrovalve_west,bomba
-0.6849477291107178,1.0,-0.33768951892852783,-0.889580249786377,-0.36962732672691345
-1.0,1.0,-0.24740803241729736,1.0,-1.0
-1.0,-0.8147251009941101,1.0,-0.7206984758377075,-0.07041200995445251
-0.404634028673172,0.12205731868743896,-0.021694302558898926,-0.22718222439289093,0.2905363440513611
-0.8522377014160156,1.0,-0.8346442580223083,0.5153769254684448,-0.3534000515937805
-0.4675963222980499,0.6667302846908569,-0.38005396723747253,-1.0,-0.8623029589653015
0.23122870922088623,1.0,-0.9244073033332825,0.24310041964054108,-1.0
-0.13897782564163208,-1.0,-1.0,0.4338919222354889,-0.4996711015701294
-0.19167116284370422,-0.6589200496673584,-0.7716043591499329,0.9356288909912109,-0.17312538623809814
-0.9505792856216431,-0.6005935072898865,-0.05918145179748535,0.34302905201911926,-0.8405593633651733
-0.5300750732421875,-1.0,0.26434794068336487,0.7401464581489563,-0.17093995213508606
-0.9908862113952637,0.08836798369884491,0.476511150598526,1.0,-0.35932788252830505
-0.08563703298568726,-1.0,1.0,1.0,0.15879996120929718
-0.04481828212738037,-0.5781596899032593,0.8444910645484924,1.0,0.31844964623451233
1.0,1.0,1.0,0.2708708941936493,1.0
-0.5521185398101807,1.0,-0.36446940898895264,1.0,1.0
0.9358008503913879,-0.6528201699256897,1.0,-0.39389121532440186,1.0
-0.397448867559433,0.5136486887931824,0.6248272657394409,0.7879800796508789,0.5984373688697815
1.0,-0.3998444676399231,-0.4285404086112976,-0.011005651205778122,0.26736003160476685
-0.9036698341369629,1.0,0.5569927096366882,0.40420806407928467,-1.0
-0.0866551399230957,-0.44194740056991577,-0.6167586445808411,-0.7078564167022705,-1.0
-0.5135301947593689,0.18625041842460632,0.6674500703811646,0.36327046155929565,-1.0
-0.1962466835975647,-0.9329572319984436,-1.0,-0.22308070957660675,-1.0
-1.0,1.0,-0.22944875061511993,-0.07408739626407623,-1.0
-1.0,0.1659814715385437,-0.7733752131462097,-0.42036619782447815,-0.6017637252807617
-1.0,0.24565058946609497,-0.7968065738677979,-0.33272862434387207,-0.42864617705345154
0.3166472911834717,1.0,-0.3228583335876465,0.6056355237960815,-0.2714977264404297
-1.0,1.0,0.2552647590637207,-0.3080601096153259,-0.8960609436035156
-1.0,1.0,-0.8371068239212036,0.759219765663147,-0.8298417329788208
-0.6902433633804321,1.0,-0.5322748422622681,1.0,-0.796703577041626
-0.29266753792762756,0.4436648190021515,-0.7625970840454102,0.24405601620674133,-0.11083947122097015
0.3564268946647644,0.38961613178253174,-1.0,-0.9880918264389038,0.03200957179069519
0.42847204208374023,0.1971360445022583,0.8236231207847595,0.037886232137680054,-0.9567948579788208
-0.9606032967567444,1.0,0.2826773524284363,-0.3276602625846863,-0.0970291942358017
0.5784834027290344,0.4867004156112671,-1.0,1.0,0.9254570603370667
-0.6182478666305542,1.0,1.0,-0.6369355916976929,-0.505915641784668
-1.0,0.245711088180542,-1.0,-0.5255187749862671,-0.44187626242637634
-0.6923394203186035,1.0,-0.19641655683517456,1.0,-0.6418536305427551
-0.7908042073249817,-1.0,0.20042426884174347,0.2506924271583557,-0.020305901765823364
0.16778066754341125,1.0,-0.5179697871208191,0.9124854207038879,0.7459262609481812
1.0,0.32324767112731934,0.8890553712844849,1.0,0.38174208998680115
-0.12795263528823853,1.0,0.6834725737571716,1.0,0.8810850977897644
1.0,0.2738230526447296,1.0,0.15483686327934265,0.31781288981437683
1.0,-0.177298903465271,-0.3347768783569336,-1.0,-1.0
-0.32534629106521606,1.0,-0.5182771682739258,-1.0,-1.0
0.09173583984375,-0.48313236236572266,-0.5507134199142456,-0.12384623289108276,-1.0
-1.0,1.0,-0.5349689722061157,-0.9433349370956421,-1.0
-1.0,1.0,0.3405643701553345,-0.04443389177322388,-1.0
-1.0,-0.09709835052490234,-0.14401653409004211,-0.6845468282699585,-0.9953045845031738
-1.0,0.8965967893600464,-0.5098903775215149,-0.41656172275543213,-0.812096357345581
-0.7956874370574951,-0.14777493476867676,0.07136407494544983,-0.9821845293045044,-0.259824275970459
-0.5077855587005615,1.0,-0.5906555652618408,0.377888560295105,-0.18513058125972748
